code;label-en_US;label-fr_FR;sort_order
other;_OTHER;Autre;6
erp;_ERP;;3
PRODUCT;_PRODUCT;;0
PRODUCT_CODING;_PRODUCT CODING;;2
ITEM_OPTIONS;_ITEM OPTIONS;;4
ITEM_UOM;_ITEM UOM;;5
GS1_PRODUCT_DESCRIPTION_INFORMATION;GS1 PRODUCT DESCRIPTION INFORMATION;;7
GS1_UNIT_INDICATORS;GS1 UNIT INDICATORS;;8
GS1_DIMENSIONS;GS1 DIMENSIONS;;9
GS1_WARRANTY_INFORMATION;GS1 WARRANTY INFORMATION;;21
GS1_PACKAGING_INFORMATION;GS1 PACKAGING INFORMATION;;12
GS1_PHARMACEUTICAL_INFORMATION;GS1 PHARMACEUTICAL INFORMATION;;13
GS1_HIERARCHY;GS1 HIERARCHY;;14
GS1_CLASSIFICATIONS;GS1 CLASSIFICATIONS;;11
GS1_INGREDIENT_INFORMATION;GS1 INGREDIENT INFORMATION;;17
GS1_LINKS_TO_ADDITIONAL_INFORMATION;GS1 LINKS TO ADDITIONAL INFORMATION;;19
GS1_GENERAL_ITEM_INFORMATION;GS1 GENERAL ITEM INFORMATION;;1
GS1_CONTACT_ROLE_INFORMATION;GS1 CONTACT / ROLE INFORMATION;;10
GS1_PALLET_LOGISTIC_UNITS;GS1 PALLET & LOGISTIC UNITS;;15
GS1_STORAGE_HANDLING_SHELF_LIFE;GS1 STORAGE, HANDLING & SHELF LIFE;;16
GS1_DANGEROUS_HAZARDOUS_GOODS_INFORMATION;GS1 DANGEROUS / HAZARDOUS GOODS INFORMATION;;18
MD_RECIPIENT_MAPPING;MD - RECIPIENT MAPPING;;26
MD_SUPPLIER_MAPPING;MD - SUPPLIER MAPPING;;27
MD_HUB_MASTER;MD - HUB;;22
MD_SUPPLIER_MASTER;MD - SUPPLIER MASTER;;25
MD_HUB_MASTER_EXTRA;MD - HUB - extra attributes;;24
MD_COUNTRYBUCKETSETTINGS;MD - COUNTRY BUCKET SETTINGS;;23
_LMIS;LMIS;FR LMIS;28
GS1_ADDITIONAL_TRADE_ITEM_IDENTIFICATION;GS1 ADDITIONAL TRADE ITEM IDENTIFICATION;;20
