code;label-en_US;label-fr_FR;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;description-en_US;description-fr_FR;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
sku;UNIQUE ID;;;;;;;;;Primary ID code used within PCMT.  This must be unique across all entries regardless of product family / master data type.;;PRODUCT_CODING;0;;;;;;;;;0;1;pim_catalog_identifier;1;1;;;
MANU_SHORT;MANU_SHORT;;;;;;;;;Short name for the manufacturer.;;erp;0;;;;;;;;;0;3;pim_catalog_text;0;1;;;
BRAND_NAME;BRAND_NAME;;;;;;;;;The recognisable name used by a brand owner to uniquely identify a line of trade item or services. This is recognizable by the consumer.;;erp;0;;;;;;;;;0;8;pim_catalog_text;0;0;;;
BRAND_OWNER_NAME;BRAND_OWNER_NAME;;;;;;;;;The name of the brand owner of the trade item expressed in text.;;erp;0;;;;;;;;;0;9;pim_catalog_text;0;0;;;
BRAND_OWNER_LOCATION;BRAND_OWNER_LOCATION;;;;;;;;;The Global Location Number used to identify the organization that owns the brand.;;erp;0;;;;;;;;;0;10;pim_catalog_text;0;0;;;
BRAND_OWNER_GLN;BRAND_OWNER_GLN;;;;;;;;;The Global Location Number used to identify the organization that owns the brand.;;erp;0;;;;;;;;;0;11;pim_catalog_text;0;0;;;
MANUFACTURER_LOCATION;MANUFACTURER_LOCATION;;;;;;;;;The Global Location Number used to identify the organization that manufactures this trade item.;;erp;0;;;;;;;;;0;5;pim_catalog_text;0;0;;;
MANUFACTURER_GLN;MANUFACTURER_GLN;;;;;;;;;The Global Location Number used to identify the organization that manufactures this trade item.;;erp;0;;;;;;;;;0;6;pim_catalog_text;0;0;;;
MANUFACTURER_PART_NUM;MANUFACTURER_PART_NUM;;;;;;;;;;;erp;0;;;;;;;;;0;12;pim_catalog_text;0;0;;;
COUNTRY_OF_ORIGIN;COUNTRY_OF_ORIGIN;;;;;;;;;The country code (codes) in which the goods have been produced or manufactured, according to criteria established for the purposes of application of the value may or may not be presented on the trade item label.;;erp;0;;;;;;;;;0;7;pim_catalog_simpleselect;0;0;;;
price_reference;PRICE_REFERENCE;;;;;;;1;;Price to be used for generic reference value calculations.  Not the actual price.;;PRODUCT;0;;;;;;;;;0;3;pim_catalog_price_collection;0;1;;;
ITEM_DESCRIPTION;ITEM_DESCRIPTION;;;;;;;;;An understandable and useable description of a trade item using brand and other descriptors. Allows for the representation of the same value in different languages but not for multiple values.;;ITEM_OPTIONS;0;;;;;;;;;0;0;pim_catalog_text;0;1;;;
SHELF_LIFE_DAYS;SHELF_LIFE_DAYS;;;;;;;0;;The period of day, guaranteed by the manufacturer, before the expiration date of the product, based on the production.;;ITEM_OPTIONS;0;;;;;0;;;;0;4;pim_catalog_number;0;1;;;
STORAGE_INSTRUCTIONS;STORAGE_INSTRUCTIONS;;;;;;;;;Expresses in text the consumer storage instructions of a product which are normally held on the label or accompanying the product. This information may or may not be labeled on the pack. Instructions may refer to a suggested storage temperature, a specific storage requirement. Allows for the representation of the same value in different languages.;;ITEM_OPTIONS;0;;;;;;;;;0;5;pim_catalog_text;0;1;;;
TRADE_ITEM_UNIT_DESCRIPTOR;TRADE_ITEM_UNIT_DESCRIPTOR;;;;;;;;;Describes the hierarchical level of the trade item. TradeItemUnitIndicator is mandatory (e.g., case, pallet, etc.).;;ITEM_UOM;0;;;;;;;;;0;0;pim_catalog_simpleselect;0;1;;;
NET_CONTENT;NET_CONTENT;;;;;;;0;;"The amount of the trade item contained by a package, usually as claimed on the label. For example, Water 750ml - net content = ""750 MLT"" ; 20 count pack of diapers, net content = ""20 ea."". In case of multi-pack, indicates the net content of the total trade item. For fixed value trade items use the value claimed on the package, to avoid variable fill rate issue that arises with some trade item which are sold by volume or weight, and whose actual content may vary slightly from batch to batch. In case of variable quantity trade items, indicates the average quantity.";;ITEM_UOM;0;;;;;0;;;;0;3;pim_catalog_number;0;1;;;
NET_CONTENT_UOM;NET_CONTENT_UOM;;;1;;;;;;"The amount of the trade item contained by a package, usually as claimed on the label. For example, Water 750ml - net content = ""750 MLT"" ; 20 count pack of diapers, net content = ""20 ea."". In case of multi-pack, indicates the net content of the total trade item. For fixed value trade items use the value claimed on the package, to avoid variable fill rate issue that arises with some trade item which are sold by volume or weight, and whose actual content may vary slightly from batch to batch. In case of variable quantity trade items, indicates the average quantity.";;ITEM_UOM;0;;;;;;;;;0;4;pim_catalog_simpleselect;0;1;;;
PRODUCT_DESCRIPTION;PRODUCT_DESCRIPTION;DESCRIPTION DU PRODUIT;;;en_US,fr_FR;;;;;An understandable and useable description of a product focused on active ingrediant and other descriptors.;Une description compréhensible et utilisable d'un produit axé sur l'ingrédient actif et d'autres descripteurs.;PRODUCT;1;;;;;;;;;0;1;pim_catalog_text;0;1;;;
STRENGTH;STRENGTH;;;;;;;;;Used to define the strength of each ingredient in a trade item or unit volume of non-food and beverage the trade items.;;PRODUCT;0;;;;;;;;;0;8;pim_catalog_text;0;1;;;
ACTIVE_INGREDIENT;ACTIVE_INGREDIENT;;;;;;;;;Active ingredient as defined by ATC;;PRODUCT;0;;;;;;;;;0;9;pim_catalog_text;0;1;;;
DOSAGE_FORM;DOSAGE_FORM;;;;;;;;;A dosage form is the physical form of a medication that identifies the form of the pharmaceutical item.;;PRODUCT;0;;;;;;;;;0;5;pim_catalog_simpleselect;0;1;;;
ROUTE_OF_ADMINISTRATION;ROUTE_OF_ADMINISTRATION;;;1;;;;;;The description for the method(s) of administering the product. In pharmacology and toxicology, a route of administration is the path by which a drug, fluid, or other substance is brought into contact with the body.;;PRODUCT;0;;;;;;;;;0;6;pim_catalog_simpleselect;0;1;;;
UNSPSC_CODE;UNSPSC_CODE;;;;;;;;;;;PRODUCT_CODING;0;;;;;;;;;0;7;pim_catalog_text;0;1;;;
GPC_CODE;GPC_CODE;;;;;;;;;Code specifying a product category according to the GS1 Global Product Classification (GPC) standard.  The GPC brick code is mandatory in the GDSN.;;PRODUCT_CODING;0;;;;;;;;;0;8;pim_catalog_text;0;0;;;
ATC_CODE;ATC_CODE;;;;;;;;;;;PRODUCT_CODING;0;;;;;;;;;0;6;pim_catalog_text;0;0;;;
FREQUENCY;FREQUENCY;;;;;;;;;;;PRODUCT;0;;;;;;;;;0;4;pim_catalog_text;0;1;;;
GS1_TARGETMARKETCOUNTRYCODE;GS1 Target Market Country Code;;;;;;;;;The target market indicates the country where the trade item is intended to be sold. Combination of this field +GTIN+GLN uniquely identifies a trade item. In this instance, use Target Market: Development Assistance (D_A).;;GS1_GENERAL_ITEM_INFORMATION;0;;;;;;;;CountryCode;0;2;pim_reference_data_simpleselect;0;1;;;
GS1_BRANDNAME;GS1 Brand Name;;;;;;;;;The recognisable name used by a brand owner to uniquely identify a line of trade item or services. This is recognizable by the consumer.;;GS1_GENERAL_ITEM_INFORMATION;0;70;;;;;;;;0;3;pim_catalog_text;0;1;;;
GS1_STARTAVAILABILITYDATETIME;GS1 Start Availability Date Time;;;;;;;;;The date from which the trade item becomes available from the supplier, including seasonal or temporary trade items and services.;;GS1_GENERAL_ITEM_INFORMATION;0;;;;;;;;;0;7;pim_catalog_date;0;1;;;
GS1_ISTRADEITEMACONSUMERUNIT;GS1 Is Trade Item A Consumer Unit;;;;;;;;;Yes indicates this packaging level is the trade item intended for ultimate consumption. For retail, this trade item will be scanned at point of sale. At retail, this data is commonly used to select which GTINs should be used for shelf planning and for front end POS databases.;;GS1_UNIT_INDICATORS;0;;;;;;;;;0;1;pim_catalog_boolean;0;1;;;
GS1_ISTRADEITEMADESPATCHUNIT;GS1 Is Trade Item A Despatch Unit;;;;;;;;;Yes indicates that this packaging level is the trade item identified as the shipping unit.;;GS1_UNIT_INDICATORS;0;;;;;;;;;0;2;pim_catalog_boolean;0;1;;;
GS1_ISTRADEITEMANORDERABLEUNIT;GS1 Is Trade Item An Orderable Unit;;;;;;;;;Yes indicates that this trade item is the packaging level where the supplier will accept orders from retailer customers. This may be different from what the information provider identifies as a despatch unit.;;GS1_UNIT_INDICATORS;0;;;;;;;;;0;4;pim_catalog_boolean;0;0;;;
GS1_TRADEITEMDESCRIPTION;GS1 Trade Item Description;;;;;;;;;An understandable and useable description of a trade item using brand and other descriptors. Allows for the representation of the same value in different languages but not for multiple values.;;GS1_PRODUCT_DESCRIPTION_INFORMATION;0;200;;;;;;;;0;0;pim_catalog_text;0;1;;;
