code;family_variant;parent;categories;ACTIVE_INGREDIENT;ATC_CODE;BASE_UOM;DOSAGE_FORM;FREQUENCY;GPC_CODE;L3;PARENTID;price_reference-USD;PRODUCT_DESCRIPTION-en_US;PRODUCT_DESCRIPTION-fr_FR;ROUTE_OF_ADMINISTRATION;SOURCE_OF_DATA;STRENGTH;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;UNSPSC_CODE;UN_SUPPLY_MATERIAL_CODE;WHO_COVID19_ITEM_CODE
1000;VARIANT_RH_SOURCE_ID;;10000463,L5_IMP_ETO,PRODUCTS_TO_TRADE_ITEMS;Etonogestrel;;Set;;Every 3 years;10000463;Implantable_Contraceptives;1000;8.50;Etonogestrel 68 mg/rod, 1 Rod Implant;;Parenteral_Slow_Release;;68 mg/rod;;;;51352005;;
6001;VARIANT_RH_SOURCE_ID;;10000464,L5_IUD_TCU,PRODUCTS_TO_TRADE_ITEMS;Copper;;Piece;;;10000464;Copper_bearing_Intrauterine_Devices;6001;0.32;Cu375 Intrauterine Device;;Vaginal;;;;;;42143103;;
3000;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_EOC_2TAB,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel;;Dose;TA;;10000463;Emergency_Oral_Contraceptives;3000;0.23;Levonorgestrel 0.75 mg Tablet, 2 Tablets;;Oral_Solid;;0.75 mg;;;;51352006;;
10000;VARIANT_RH_SOURCE_ID;;10000460,L5_BAR_FCD_NRR,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Female_Condoms;10000;0.50;Female Condom (Nitrile), Inner Retention Ring;;;;;;;;53131622;;
3001;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_EOC_1TAB,PRODUCTS_TO_TRADE_ITEMS;Levonrgestrel;;Dose;TA;;10000463;Emergency_Oral_Contraceptives;3001;0.64;Levonorgestrel 1.5 mg Tablet, 1 Tablet;;Oral_Solid;;1.5 mg;;;;51352006;;
1001;VARIANT_RH_SOURCE_ID;;10000463,L5_IMP_LEV_3YR,PRODUCTS_TO_TRADE_ITEMS;Levonrgestrel;;Set;;Every 3 years;10000463;Implantable_Contraceptives;1001;6.90;Levonorgestrel 75mg/rod, 2 Rod Implant, 3 Year Efficacy;;Parenteral_Slow_Release;;75mg/rod;;;;51352006;;
2001;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_COC_DESETHPLAC,PRODUCTS_TO_TRADE_ITEMS;Desogestrel/Ethinyl Estradiol;;Cycle;TA;Daily;10000463;Combined_Oral_Contraceptives;2001;0.84;Desogestrel/Ethinyl Estradiol 150/30 mcg + Placebo 28 Tablets/Cycle;;Oral_Solid;;150/30 mcg;;;;51352422;;
2003;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_COC_LEVETHFE,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel/Ethinyl Estradiol;;Cycle;TA;Montly;10000463;Combined_Oral_Contraceptives;2003;0.27;Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Ferrous Fumarate 75 mg, 28 Tablets/Cycle;;Oral_Solid;;150/30 mcg;;;;51352413;;
11000;VARIANT_RH_SOURCE_ID;;10000460,L5_BAR_MCD_L49,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Male_Condoms;11000;0.02;Male Condom (Latex), 49 mm;;;;;;;;53131622;;
1002;VARIANT_RH_SOURCE_ID;;10000463,L5_IMP_LEV_5YR,PRODUCTS_TO_TRADE_ITEMS;Levonrgestrel;;Set;;Every 5 years;10000463;Implantable_Contraceptives;1002;8.50;Levonorgestrel 75mg/rod, 2 Rod Implant, 5 Year Efficacy;;Parenteral_Slow_Release;;75mg/rod;;;;51352006;;
4001;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_POP_LYNE,PRODUCTS_TO_TRADE_ITEMS;Lynestrenol;;Cycle;TA;Daily;10000463;Progestogen_Only_Pills;4001;0.25;Lynestrenol 0.5 mg Tablet, 28 Tablets/Cycle;;Oral_Solid;;0.5 mg;;;;51181914;;
2002;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_COC_LEVETH,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel/Ethinyl Estradiol;;Cycle;TA;Daily;10000463;Combined_Oral_Contraceptives;2002;0.25;Levonorgestrel/Ethinyl Estradiol 150/30 mcg, 21 Tablets/Cycle;;Oral_Solid;;150/30 mcg;;;;51352413;;
